"theta.G.ml" "theta.G.tau" "theta.G.new" "p.value.gumbel" "loglik.G" "theta.gum.ML.std" "theta.gum.tau.std" "theta.C.ml" "theta.C.tau" "theta.C.new" "p.value.clayton" "loglik.C" "theta.clay.ML.std" "theta.clay.tau.std" "emp.tau" "t.G" "t.C" "KL.G.ML" "KL.G.tau" "KL.G.new" "KL.C.ML" "KL.C.tau" "KL.C.new"
2.25352828605042 2.29166666666667 2.28673268036317 0.129370629370629 43.1634164835765 0.188629935150007 0.272298679155591 2.09859889142061 2.58333333333333 2.57437470478649 0.0184815184815185 40.7163895758082 0.283726385389572 0.544597358311183 0.563636363636364 109.75 62.88 0.174732044736623 0.169547110146322 0.17012989310694 2.24447438046204 2.06366730357296 2.06637195184267
1.930110357943 2.02868852459016 2.00323152551095 0.258241758241758 31.9141399217131 0.157094984340258 0.193639200880768 1.11649733786325 2.05737704918033 2.05690707929456 0.0004995004995005 24.5648878718894 0.195394327210504 0.387278401761535 0.507070707070707 169.26 36.33 0.388603606827851 0.329007711184184 0.343291040414122 1.34077485941696 1.13403459347543 1.13403558037909
1.81311959008256 1.89509954058193 1.89161887335294 0.0424575424575425 25.8119165980372 0.149618365259943 0.192966599538066 1.16502308279163 1.79019908116386 1.67122203052459 0.19030969030969 29.604543800212 0.194951421630135 0.385933199076133 0.472323232323232 169.36 121.34 2.70383049349092 2.49096184511 2.49954245828353 0.4460968515177 0.272001244970826 0.261663084031628
1.7077273206903 1.8595041322314 1.85836694333374 0.00749250749250749 20.6009634392832 0.141345840634142 0.211394552054826 1.33320459676986 1.71900826446281 1.71033635385033 0.0224775224775225 24.6321466717918 0.236625840115304 0.422789104109652 0.462222222222222 215.64 42.98 0.757998155216544 0.646417322339261 0.647134510600715 0.277192368862657 0.221198528935469 0.221592204223204
1.94315742508444 2.20195729537367 2.19872552876166 0.0124875124875125 31.121506826145 0.157457282247237 0.197772787238611 2.15450535975692 2.40391459074733 2.38609964567659 0.0714285714285714 40.4441255048109 0.298211642930886 0.395545574477222 0.545858585858586 255.55 36.68 0.433857703668948 0.315122755251714 0.316320033616603 -0.0138677731223174 -0.0509761127283791 -0.0488328707459169
1.51085824108642 1.47937836222355 1.48917454830326 0.311188811188811 14.6149336311934 0.121885401185033 0.150565780185304 1.36245746240057 0.958756724447101 0.988802383765316 0.0744255744255744 16.7015813462123 0.256951534261775 0.301131560370608 0.324040404040404 87.3 75.73 0.474741285756145 0.502795771121467 0.493888429517235 0.553189298584455 0.718142718292241 0.703923063141602
1.59064080850405 1.63474240422721 1.6151147709658 0.445054945054945 17.5914645900995 0.12705947615433 0.154726398761094 1.19246903945189 1.26948480845443 1.26506082571951 0.0574425574425574 21.6996019403531 0.216228854371831 0.309452797522188 0.388282828282828 140.32 89.05 7.95102604276716 7.70302611729513 7.81135605571139 1.5662043732035 1.38207126602366 1.39222795284053
1.96632841591877 1.98795180722892 1.9797107245268 0.381118881118881 32.5168447085061 0.162106702680699 0.206165164622799 1.30690211256306 1.97590361445783 1.96019778499277 0.0234765234765235 31.080447341027 0.21154501377637 0.412330329245598 0.496969696969697 172.41 49.74 7.36541329192622 7.27107423441504 7.30674087865987 2.21001120383593 0.861922414242629 0.885482571281035
2.2139209263166 2.30446927374302 2.28560880377458 0.208291708291708 43.2113637414299 0.181258050252192 0.236732628373466 1.80577807928264 2.60893854748603 2.60853736843099 0.0004995004995005 34.3630548437779 0.264430690061002 0.473465256746932 0.566060606060606 138.47 58.58 0.256948360041255 0.20159368704788 0.212221955557947 3.83636546989417 3.43671757751441 3.43686125461351
2.23455359204815 2.47005988023952 2.43912174148111 0.131368631368631 42.7092719908909 0.183241630923332 0.233282389067112 1.61495063736711 2.94011976047904 2.93945783784012 0.0004995004995005 30.569861639159 0.266414356002645 0.466564778134224 0.595151515151515 169.94 61.69 0.135607646493491 0.0759634837863749 0.0820302309337975 0.481848278083861 0.517108526728068 0.517003206159115
1.97828062514177 2.09213863060017 2.0664892997002 0.225274725274725 31.9903284861765 0.165111824074009 0.207362030004039 1.0559076008828 2.18427726120034 2.18371363999139 0.0004995004995005 20.0727464845652 0.209473773422962 0.414724060008077 0.522020202020202 220.66 33.86 0.681533464750353 0.598133338202127 0.615564447663614 1.54389845226439 0.920736696471469 0.920906049848574
2.12841279588432 2.28110599078341 2.26470787045209 0.107392607392607 38.2407522658669 0.176680434203318 0.269032910531052 1.83756901416715 2.56221198156682 2.55895434584924 0.0044955044955045 32.8346992811473 0.276680493823584 0.538065821062104 0.561616161616162 282.89 38.09 0.226448348080895 0.157976090685229 0.164565791917443 0.530003312720078 0.354080331007945 0.35458959873553
2.08375015748704 2.17869718309859 2.16337855708834 0.161338661338661 36.9543297132262 0.171951846035305 0.246886555202685 2.08958588778775 2.35739436619718 2.35538780916614 0.00749250749250749 40.4010336213463 0.297950057149591 0.493773110405371 0.541010101010101 106.74 40.72 0.59667148640875 0.539168779604664 0.547672495644365 1.12947639132731 1.0086917052191 1.00951339151933
1.83942831911094 1.99275362318841 1.98501843052516 0.0504495504495504 27.0229099173155 0.150158894207544 0.187773928484306 1.25558453271712 1.98550724637681 1.98295506905632 0.0034965034965035 27.1714269495865 0.20957001727622 0.375547856968613 0.498181818181818 124.67 84.01 1.44692307144228 1.29142396764398 1.29836157464372 1.23479299507833 0.813035833439846 0.813926821839077
2.06130814646025 2.05223880597015 2.06059691446377 0.921578421578422 36.7888330540983 0.17060542412963 0.202025155718062 1.11671168602284 2.1044776119403 2.10398422236691 0.0004995004995005 19.815799774704 0.216084884292697 0.404050311436124 0.512727272727273 142.06 72.67 0.105333673601191 0.105649120615976 0.105355189826636 1.72470536512376 1.46894242783054 1.46899298073353
1.97431861508065 2.11538461538461 2.10065794502321 0.104395604395604 33.3596554544756 0.160026360753847 0.222347340091216 1.26691365656447 2.23076923076923 2.23028778442847 0.0004995004995005 35.0783996461067 0.189532077073856 0.444694680182431 0.527272727272727 76.1 31.2 3.19004133039379 2.93475732808944 2.95925444108449 0.997528570810914 0.202066680580931 0.202244486707321
