."dates" "theta.F.ML" "theta.F.tau" "theta.F.new" "theta.G.ML" "theta.G.tau" "theta.G.new" "theta.C.ML" "theta.C.tau" "theta.C.new"
2006-08-10 3.12679704931775 2.96203531521243 2.96968908208146 1.44656093917982 1.43662758235623 1.43693024707463 0.801576476781291 0.873255164712451 0.869352578806109
2006-08-11 3.12090476954189 2.97164038988413 2.979170710736 1.44595602156703 1.43836765116929 1.43867467314842 0.801612830224489 0.876735302338582 0.872269980569562
2006-08-14 3.09527131534639 2.9568688284511 2.96509554970012 1.44206387444629 1.43569236492142 1.43581012009246 0.797166267233014 0.871384729842835 0.867862874723987
2006-08-15 3.10775060439142 2.99311508366821 2.99798222615646 1.44376162202333 1.44226457399103 1.44230719723671 0.800020394347263 0.884529147982063 0.881025538315885
2006-08-16 3.11004219487928 3.01986639644214 3.02549675348741 1.44241838794883 1.44713160854893 1.44697387339398 0.80189557422955 0.894263217097863 0.889695586406572
2006-08-17 3.10874497731141 3.02284518186927 3.02760785784034 1.44268564799556 1.44767441860465 1.44753736446704 0.800793758386254 0.895348837209302 0.891334260935597
2006-08-18 3.11170023306801 3.02061097193352 3.02547937899715 1.44568014371298 1.44726727289772 1.44720781501118 0.799648798263538 0.894534545795444 0.89116946683702
2006-08-21 3.10249554438924 2.99979320210117 3.00589788678263 1.44323594361159 1.44347826086957 1.44347111965167 0.799774737213271 0.88695652173913 0.883254997421099
2006-08-22 3.08810383946844 2.97681785439025 2.98065338534449 1.44072026966934 1.4393063583815 1.43935932708609 0.79780078728625 0.878612716763006 0.873405554474044
2006-08-23 3.10371955040108 3.01093776337312 3.01571125191652 1.44284327938059 1.44550561797753 1.44544843488079 0.8043219404095 0.891011235955056 0.887244018815963
2006-08-24 3.10349049988839 3.01019423246663 3.01508739334539 1.44355233472683 1.4453702836813 1.44530762709896 0.803554955058666 0.890740567362606 0.885384008764512
2006-08-25 3.11015331938448 3.01912190147888 3.02671543134413 1.44425727380385 1.44699596963164 1.44690705093594 0.805056011120018 0.893991939263286 0.888794385021147
2006-08-28 3.10263357151632 2.99459855288021 3.00479766303117 1.44420275626815 1.44253410577462 1.44262829034294 0.803899195763869 0.885068211549243 0.881135447048154
2006-08-29 3.11475186122866 2.98644340316205 2.99496739163501 1.44538916479906 1.44105292635116 1.44123270047263 0.807180911883791 0.882105852702324 0.877577422213292
2006-08-30 3.11696143996807 3.00573472912252 3.01656849965942 1.44611087328295 1.44455880976888 1.44461540349342 0.807131811096253 0.889117619537756 0.883998625504196
2006-08-31 3.10684229975982 2.9657280057837 2.9779221980204 1.4430529908517 1.4372963411228 1.43748324533478 0.805038837665472 0.874592682245601 0.868790738167239
2006-09-01 3.07628793599842 2.92301240540928 2.94146365559509 1.43493821410298 1.42957681266784 1.42979373250612 0.795848203272254 0.859153625335679 0.853936145495287
