."dates" "theta.F.ML" "theta.F.tau" "theta.F.new" "theta.G.ML" "theta.G.tau" "theta.G.new" "theta.C.ML" "theta.C.tau" "theta.C.new"
2006-08-10 2.77604642067991 2.60559265200425 2.67566430616013 1.25350198071515 1.37336535895383 1.36683933086791 0.615543289761646 0.74673071790766 0.746140964234675
2006-08-11 2.70847337766652 2.56912944859625 2.63546049974708 1.24544195173996 1.36704153015142 1.35920619268135 0.512685576169858 0.734083060302842 0.731981885378503
2006-08-14 2.72401672484806 2.56912944859625 2.64827514470295 1.24721790904671 1.36704153015142 1.36087677841626 0.515186126614672 0.734083060302842 0.732224295131664
2006-08-15 2.74822508618426 2.59014455964826 2.66665806125335 1.24900421930916 1.37068276658084 1.36417946760079 0.517655192287961 0.74136553316168 0.739912868610552
2006-08-16 2.7695302472963 2.61051456696338 2.69939495971689 1.25114191163905 1.37422111447392 1.36936434273368 0.52056882880264 0.748442228947837 0.746507240035515
2006-08-17 2.73734564173985 2.58874174525856 2.6737324852541 1.24735549542741 1.37043941411451 1.3647217295801 0.518819137135775 0.740878828229028 0.738993206476488
2006-08-18 2.73392084507132 2.57542787240608 2.662274421364 1.24784541997689 1.36813186813187 1.36182313833353 0.516127931262299 0.736263736263736 0.733954619428057
2006-08-21 2.74607188575252 2.60699858669774 2.68903932904724 1.24949872545093 1.37360975175727 1.36536461364601 0.520025750114734 0.747219503514547 0.745290285828335
2006-08-22 2.71958608394383 2.57962974919757 2.64820975138842 1.24825384217763 1.36885972690193 1.35759434206505 0.513384906596629 0.737719453803866 0.735366294217776
2006-08-23 2.71951649614147 2.58033028642186 2.64436150477938 1.24852725925501 1.36898111199787 1.35833159554658 0.513041838573105 0.737962223995744 0.737175789081678
2006-08-24 2.63726134139465 2.49533313114404 2.5687076054744 1.23996251027042 1.35432932713396 1.33907660980001 0.497508605115979 0.708658654267918 0.707076610942604
2006-08-25 2.60621988535714 2.48287112366532 2.54898162381283 1.23757529412781 1.35219409652273 1.3370222770249 0.493624713720593 0.704388193045459 0.703440704876665
2006-08-28 2.56335621720798 2.42566156855948 2.4869432528481 1.23357822383331 1.3424347826087 1.32541575019276 0.482545544239233 0.684869565217391 0.68294940717614
2006-08-29 2.56452536573426 2.41673832957213 2.46819065934486 1.23421725238681 1.34091896117432 1.31933345065537 0.48109151306949 0.681837922348649 0.680534374236447
2006-08-30 2.56207004393983 2.43253241144055 2.48733679442102 1.23414672236704 1.34360313315927 1.32353794696509 0.482231869990966 0.687206266318538 0.686284802998384
2006-08-31 2.53577876339278 2.41056654321499 2.46391620545857 1.23175338085482 1.33987155007811 1.32361602113894 0.476879848677462 0.679743100156223 0.677209842770124
2006-09-01 2.54596069393274 2.41673832957213 2.47128023660745 1.23338239290594 1.34091896117432 1.3230320095093 0.479021278079012 0.681837922348649 0.679305246970657
2006-09-04 2.51927451180854 2.38319374220455 2.44783550638707 1.22836771073566 1.33523611831863 1.31916849060511 0.474360057259845 0.67047223663726 0.667435534558988
2006-09-05 2.56806495774426 2.41811048568973 2.48155276232818 1.23184332303026 1.34115194162106 1.3271198162575 0.483596455623723 0.682303883242116 0.680616557433169
2006-09-06 2.61249010667637 2.47042892098581 2.52471304039304 1.23912383796234 1.35006558810669 1.33715378601696 0.492937478738944 0.70013117621338 0.699199736014943
2006-09-07 2.58547156665473 2.46421520475145 2.51006488804854 1.23664807675517 1.34900384480951 1.33211119436777 0.481772228461522 0.698007689619014 0.695739485480999
2006-09-08 2.67283901025943 2.53005485653149 2.58932240485712 1.2438590416823 1.36029606132699 1.34406932382406 0.506605433311515 0.720592122653978 0.718775052864357
2006-09-11 2.6846323391637 2.56633179442447 2.62288205482179 1.24536143182717 1.36655749313977 1.35257333221909 0.509815631845668 0.733114986279543 0.730549609080753
2006-09-12 2.57745486234372 2.46421520475145 2.52626510703852 1.23080884775929 1.34900384480951 1.3322959606111 0.492640665723714 0.698007689619014 0.694212195171399
2006-09-13 2.69390430064869 2.56493335132965 2.63070724706129 1.24488823825866 1.36631560315072 1.35351781394382 0.521415365154982 0.732631206301443 0.729149626502325
2006-09-14 2.72511583115735 2.58383393146749 2.64826468791946 1.24859009305496 1.36958836053939 1.35200070028066 0.523368615329097 0.739176721078779 0.738422147282452
2006-09-15 2.69286251074791 2.57122836206238 2.63289602485749 1.24605154042928 1.3674047829938 1.35012922148986 0.520044324913953 0.7348095659876 0.732771334428959
2006-09-18 2.63603466745488 2.50781507748507 2.5552729776687 1.24307459199975 1.35647131183552 1.3416878233854 0.509634979972997 0.712942623671031 0.710606921470704
2006-09-19 2.64737177935919 2.48979200755153 2.55866428543949 1.24377486915375 1.35337950381345 1.3371194755947 0.520108347611353 0.706759007626896 0.702004170633493
2006-09-20 2.65678524486824 2.48840734066689 2.56132624323561 1.24557715182779 1.35314225611359 1.33654004970784 0.521837821093204 0.706284512227189 0.701954345152615
2006-09-21 2.64775928794062 2.47111963716807 2.53508754266762 1.24532543111051 1.35018366276019 1.3328469621228 0.518857229479023 0.700367325520378 0.698100715929452
2006-09-22 2.70159062184845 2.51198018040071 2.6020498756139 1.2494224872922 1.35718681318681 1.33807775439931 0.528049448677207 0.714373626373626 0.712233038917574
2006-09-25 2.62920501933231 2.45938570371924 2.53903622188141 1.2434670475742 1.34817919832329 1.3252178425896 0.50343828420018 0.696358396646581 0.69472021387356
2006-09-26 2.6339930612254 2.47319215022824 2.53415513296892 1.24534511356657 1.35053801067273 1.32673562186699 0.502306317448573 0.701076021345464 0.698991024451441
2006-09-27 2.63568576405749 2.46352509468644 2.53326650470638 1.24695453917748 1.34888597640891 1.32123923793905 0.49956166844118 0.697771952817824 0.696880897593354
2006-09-28 2.62058330987289 2.43253241144055 2.48973670571892 1.24911451920934 1.34360313315927 1.31514327591061 0.49403975520662 0.687206266318538 0.685565991249156
2006-09-29 2.65450905709962 2.44698052982048 2.51446358239727 1.25169565875084 1.34606330107246 1.31726278685742 0.499181798042928 0.692126602144912 0.690680961754538
2006-10-02 2.66694903782459 2.45662731705031 2.52627931548854 1.25248907008676 1.34770842426888 1.31978946277792 0.500984408167197 0.695416848537756 0.694542776627999
