"g.ML0.05" "g.ML0.01" "g.ML0.005" "g.ML0.001" "g.tau0.05" "g.tau0.01" "g.tau0.005" "g.tau0.001" "g.new0.05" "g.new0.01" "g.new0.005" "g.new0.001" "c.ML0.05" "c.ML0.01" "c.ML0.005" "c.ML0.001" "c.tau0.05" "c.tau0.01" "c.tau0.005" "c.tau0.001" "c.new0.05" "c.new0.01" "c.new0.005" "c.new0.001" "f.ML0.05" "f.ML0.01" "f.ML0.005" "f.ML0.001" "f.tau0.05" "f.tau0.01" "f.tau0.005" "f.tau0.001" "f.new0.05" "f.new0.01" "f.new0.005" "f.new0.001" "theta.F.ML" "theta.G.ML" "theta.C.ML" "theta.F.tau" "theta.G.tau" "theta.C.tau" "theta.F.new" "theta.G.new" "theta.C.new" "loglik.Fr" "loglik.Gu" "loglik.Cl" "time.Frank" "time.Gumbel" "time.Clayton" "L.real.left" "data.time.part" "p.F" "p.G" "p.C"
-171.317417906242 -241.858806312976 -257.404899255603 -320.105300799694 -163.914804567157 -249.429502566904 -291.694564654506 -346.162321892386 -161.925202929116 -225.654117877201 -268.192632897925 -302.266798428375 -176.377629629446 -278.857625846919 -320.023043440161 -413.27295352288 -166.892323364067 -278.673273806911 -330.884135982297 -405.565249937955 -172.335212211112 -289.18280466817 -319.646493026791 -426.281732333148 -154.186741078037 -226.293255987462 -258.156372614428 -287.537809153703 -163.423825922892 -243.237548179761 -274.795063764608 -390.549834116674 -167.462801180364 -257.838720540843 -284.608216123002 -321.861696506133 3.10349049988839 1.44355233472683 0.803554955058666 3.01019423246663 1.4453702836813 0.890740567362606 3.01508739334539 1.44530762709896 0.885384008764512 28.5443956357026 28.9572362688488 31.3528777316432 63.6699999999983 121.150000000001 59.8600000000006 111.479999999999 2006 0.0524475524475497 0.0344655344654605 0.0614385614385617
-142.907003238102 -233.381675176095 -276.804367641205 -336.385280634446 -151.190784207073 -228.073583986582 -254.360697036928 -291.261468761466 -157.858529296105 -210.712178037682 -233.150823186518 -311.846213147642 -168.232358843868 -316.619183635284 -366.337521929214 -465.933546793916 -153.871571148306 -258.156394413062 -304.375762131339 -368.040522976152 -175.213225086468 -292.709867542739 -315.017278737548 -362.845426371802 -158.542594894402 -245.666121996848 -280.11560030643 -386.454533406384 -138.171988867864 -212.537119379317 -229.024520457109 -299.735921357982 -155.156528012995 -246.305972489066 -268.053077771234 -303.430407606422 3.11015331938448 1.44425727380385 0.805056011120018 3.01912190147888 1.44699596963164 0.893991939263286 3.02671543134413 1.44690705093594 0.888794385021147 28.643877646337 29.0183615451509 31.4167629666655 62.5 125.970000000001 67.0599999999977 9.96000000000092 2006 0.0834165834165825 0.0324675324675635 0.0584415584415576
-151.927299211045 -228.751704639032 -254.021225316829 -277.858121370071 -144.716360237263 -211.587102139773 -239.45703127858 -259.553851416843 -162.636576780652 -237.258836437426 -282.778119196581 -400.208124772604 -172.916174071021 -285.904344716567 -322.531278156635 -441.565447187636 -164.400353097644 -273.037541929301 -298.145058525947 -331.782877767816 -161.336521228088 -284.432767707888 -305.489181671157 -364.216977981349 -161.760471120362 -250.638539918728 -267.671329389273 -366.227897360326 -148.083500832952 -209.384948665552 -233.389543912605 -290.987301887043 -166.667327426516 -234.061654062163 -256.077278269451 -309.682689447005 3.10263357151632 1.44420275626815 0.803899195763869 2.99459855288021 1.44253410577462 0.885068211549243 3.00479766303117 1.44262829034294 0.881135447048154 28.3852100875042 28.9139883391216 30.8220045819592 67.9500000000044 119.849999999999 63.8799999999974 33.479999999999 2006 0.0944055944055926 0.0564435564435034 0.0484515484515474
-147.065443223717 -210.92265913161 -262.542200601166 -280.311374808461 -147.837950498972 -227.718230535723 -247.772070930884 -292.943222328123 -148.818815836696 -213.735282767079 -236.257562032789 -270.960070388861 -165.018163505513 -290.719789692107 -327.635133593563 -385.110632945464 -157.349432245908 -250.445774342484 -290.462012856593 -338.459420920821 -171.584447749736 -300.993707342639 -350.610923851571 -435.398438734819 -160.195743552519 -230.980744578106 -243.018068429318 -349.885029321071 -151.232443066864 -223.15249509341 -239.95280151535 -275.684610072734 -156.572931446565 -206.280958797622 -228.78390768527 -286.057349207208 3.11475186122866 1.44538916479906 0.807180911883791 2.98644340316205 1.44105292635116 0.882105852702324 2.99496739163501 1.44123270047263 0.877577422213292 28.4870723366408 28.9595848816481 30.9888784413534 61.3700000000026 124.049999999996 71.3300000000017 -9.71999999999974 2006 0.0664335664335672 0.0414585414585273 0.0604395604395612
-142.622189850613 -233.12037842212 -256.844473264769 -323.583736466558 -149.471014184013 -219.671291414487 -253.858795715172 -301.264257485783 -143.188912060078 -228.929056950742 -257.413496920514 -287.641661613841 -155.048411841912 -250.974349127936 -270.933926302303 -322.847584037696 -160.072775100512 -257.375320342535 -272.565613705839 -351.285706784385 -165.72766019553 -243.122529057043 -265.697123605401 -413.736697240881 -140.257182745476 -202.89072426974 -229.646890503249 -306.841047281962 -143.480678498063 -203.640163210589 -238.321744462082 -264.986376417773 -149.125874902644 -237.330565008276 -250.448821073495 -284.767601775309 3.11696143996807 1.44611087328295 0.807131811096253 3.00573472912252 1.44455880976888 0.889117619537756 3.01656849965942 1.44461540349342 0.883998625504196 28.5516067755733 29.0118855715491 31.0482100842418 62.6299999999974 128.360000000001 67.8199999999997 99.9700000000004 2006 0.0974025974025982 0.0364635364634941 0.062437562437563
-143.718596051322 -227.385644279922 -261.622734215182 -299.711739986022 -130.988407623102 -188.212288068712 -258.866125523338 -284.645293109058 -138.392312810339 -225.507572020968 -247.647566987464 -308.963671549634 -164.333869680007 -246.87572258655 -276.880284293535 -346.27020195284 -145.691687635263 -240.380596395432 -337.285569516424 -406.234821406091 -165.187306069394 -273.341624921218 -292.188087019959 -362.25396657103 -141.049709680586 -195.154051806094 -214.445449626498 -254.260946929321 -138.967906512978 -197.297913448142 -225.774459650699 -269.26091374697 -143.040369510154 -208.874520393066 -223.302564014261 -257.437101538122 3.10684229975982 1.4430529908517 0.805038837665472 2.9657280057837 1.4372963411228 0.874592682245601 2.9779221980204 1.43748324533478 0.868790738167239 28.0041951337785 28.3363812247507 30.7272898158905 63.0500000000029 122.389999999999 58.239999999998 33.1799999999999 2006 0.0864135864135864 0.0324675324675563 0.0834165834165824
-127.1296042923 -215.229900082331 -244.102463121176 -272.753986929329 -141.359294247054 -218.629258705829 -271.369655983148 -320.042589907461 -134.507550254127 -204.655606026128 -218.011483566186 -255.816902308255 -157.459189503566 -268.524334704318 -304.522607058941 -403.199356452297 -158.286625103689 -238.827220476853 -257.207116091453 -297.096216679513 -146.929186051819 -232.954110596399 -244.962893905491 -324.131647157207 -147.610788918144 -214.02394222033 -260.463621266048 -276.77417813257 -152.355246375528 -196.404363316045 -218.528780287009 -280.835679236734 -148.822571118956 -216.887487999842 -232.684458420411 -316.823010420001 3.07628793599842 1.43493821410298 0.795848203272254 2.92301240540928 1.42957681266784 0.859153625335679 2.94146365559509 1.42979373250612 0.853936145495287 27.4768625852748 27.625254039453 30.1760450067779 62.3300000000017 116.830000000002 51.0999999999985 -20.5200000000002 2006 0.120379620379623 0.0404595404595291 0.0824175824175831
-126.669908261429 -182.528993293168 -212.066164320382 -233.771267737974 -127.466791229252 -206.729978464097 -240.599135096101 -267.490079550426 -133.776617741598 -190.809329664209 -234.869256311995 -262.248696317677 -153.713822939707 -219.961004520015 -240.788381481941 -275.363899924388 -152.707480221711 -257.382590820933 -269.693524420682 -310.842212734483 -141.217661435226 -274.799288600045 -335.915033065255 -406.019907921393 -127.515888418985 -182.969308469396 -195.458929652658 -242.731598527254 -138.619669045002 -190.224659918927 -220.513484792982 -247.321706229388 -139.602570386394 -198.961496946506 -215.389741486976 -244.660474471117 3.13286746638182 1.44183130279675 0.811285053780136 2.97829783915346 1.43957478552779 0.879149571055576 2.99319890711304 1.43964804907548 0.873285154727579 28.2971812679087 28.1515358146034 30.9963118666721 60.4099999999962 106.909999999996 54.0600000000049 -134.089999999999 2006 0.0964035964035969 0.0324675324675408 0.0864135864135866
-128.155962503489 -194.636031929694 -215.367075348019 -265.210897660698 -135.372705160105 -207.805660841098 -232.082378198035 -247.950377832701 -130.236073701125 -199.683876213276 -238.358504806265 -273.989479380725 -134.089478323843 -225.412860314523 -263.382885494902 -354.695069861403 -151.464996262296 -250.323443242886 -338.631682922976 -377.668826453863 -145.868398849099 -285.769392072773 -297.537847769434 -353.359931506329 -127.563368591513 -181.45474655466 -203.697133823898 -269.234081877624 -129.919859478503 -181.075727640918 -205.432011405155 -279.607610313911 -132.077074535701 -213.695893853621 -230.786058143955 -252.048785995904 3.10132462808746 1.43703867544669 0.798977469634203 2.9215440918682 1.42931210073141 0.858624201462827 2.94516161485804 1.42963243324958 0.853469913447667 27.4795521315128 27.5419414199572 29.841348081349 63.1100000000006 108.639999999999 55.7200000000012 -114.1 2006 0.131368631368633 0.0414585414585629 0.0864135864135853
-142.468163329908 -223.77389422616 -241.200087281862 -275.730501528905 -133.174796980922 -198.738178875917 -217.888333798888 -261.525346117928 -139.765058349324 -220.271990611237 -237.250295704466 -253.912855020886 -161.8206782752 -267.07487366465 -315.123896383583 -354.896659949204 -164.466824954695 -267.005617224452 -326.389660772334 -416.3672139094 -143.837493319839 -263.320267585874 -289.536133234234 -315.408688713257 -141.867663208751 -220.353854379475 -255.171277144606 -313.171711465753 -140.459216643143 -209.956767726173 -232.433674200037 -244.204489016165 -141.076426084604 -223.654859850983 -245.380206929105 -272.232173587782 3.15171030324115 1.44407420835117 0.813279596299429 2.99830861833838 1.44320837618024 0.886416752360475 3.01876728460663 1.44323821754877 0.881046541600748 28.5701843743616 28.3365933397863 31.0597200012309 54.3199999999997 112.760000000002 53.2200000000012 82.2100000000001 2006 0.133366633366635 0.0344655344655893 0.0734265734265739
