"dates" "p.F" "p.G" "p.C"
2006-08-10 0.0464535464535451 0.0304695304695298 0.0544455544455552
2006-08-11 0.0504495504495508 0.0404595404595555 0.0594405594405604
2006-08-14 0.0594405594405609 0.0184815184815271 0.0474525474525469
2006-08-15 0.0424575424575447 0.0284715284715114 0.0414585414585418
2006-08-16 0.0624375624375589 0.0334665334665521 0.0494505494505504
2006-08-17 0.0554445554445573 0.0274725274725079 0.0424575424575421
2006-08-18 0.0534465534465511 0.0374625374625353 0.0354645354645351
2006-08-21 0.0594405594405588 0.0294705294707176 0.042457542457542
2006-08-22 0.0344655344655339 0.0374625374626592 0.0644355644355641
2006-08-23 0.0514485514485521 0.0214785214784518 0.0434565434565446
2006-08-24 0.0524475524475497 0.0344655344654605 0.0614385614385617
2006-08-25 0.0834165834165825 0.0324675324675635 0.0584415584415576
2006-08-28 0.0944055944055926 0.0564435564435034 0.0484515484515474
2006-08-29 0.0664335664335672 0.0414585414585273 0.0604395604395612
2006-08-30 0.0974025974025982 0.0364635364634941 0.062437562437563
2006-08-31 0.0864135864135864 0.0324675324675563 0.0834165834165824
2006-09-01 0.120379620379623 0.0404595404595291 0.0824175824175831
2006-09-04 0.0964035964035969 0.0324675324675408 0.0864135864135866
2006-09-05 0.131368631368633 0.0414585414585629 0.0864135864135853
2006-09-06 0.133366633366635 0.0344655344655893 0.0734265734265739
2006-09-07 0.148351648351651 0.0274725274725625 0.0634365634365633
2006-09-08 0.157342657342659 0.038461538461537 0.0804195804195808
2006-09-11 0.151348651348651 0.0294705294705251 0.0774225774225772
2006-09-12 0.13036963036963 0.053446553446561 0.0354645354645347
2006-09-13 0.126373626373626 0.0534465534465441 0.0314685314685311
2006-09-14 0.10739260739261 0.0524475524475455 0.0404595404595407
2006-09-15 0.150349650349652 0.0464535464535396 0.0284715284715289
2006-09-18 0.16033966033966 0.0464535464535333 0.031468531468532
2006-09-19 0.201298701298702 0.0554445554445456 0.0214785214785208
2006-09-20 0.192307692307692 0.0764235764235703 0.0174825174825173
2006-09-21 0.210289710289708 0.0904095904095925 0.0154845154845153
2006-09-22 0.265234765234767 0.0784215784215729 0.0124875124875124
2006-09-25 0.304195804195807 0.0654345654344073 0.0144855144855147
2006-09-26 0.253246753246753 0.0784215784215647 0.00649350649350696
2006-09-27 0.270229770229768 0.0824175824171378 0.0144855144855141
2006-09-28 0.22627372627373 0.0724275724275351 0.00849150849150882
2006-09-29 0.230269730269729 0.109390609390609 0.0134865134865141
2006-10-02 0.189310689310689 0.133366633366657 0.0134865134865138
2006-10-03 0.113386613386612 0.0984015984015918 0.0114885114885123
2006-10-04 0.0914085914085943 0.0704295704294952 0.00949050949050946
2006-10-05 0.0954045954045933 0.07042957042957 0.00749250749250855
2006-10-06 0.0844155844155864 0.0814185814185922 0.0124875124875119
2006-10-09 0.109390609390609 0.084415584415583 0.00949050949050887
2006-10-10 0.0904095904095903 0.0684315684315707 0.00649350649350689
2006-10-11 0.11938061938062 0.105394605394603 0.011488511488512
2006-10-12 0.105394605394606 0.151348651348649 0.00449550449550482
2006-10-13 0.0974025974025963 0.161338661338659 0.00949050949050865
2006-10-16 0.100399600399601 0.153346653346656 0.00849150849150834
2006-10-17 0.0964035964035966 0.143356643356646 0.00249750249750237
2006-10-18 0.103396603396603 0.164335664335668 0.00849150849150762
2006-10-19 0.0914085914085924 0.136363636363636 0.00349650349650397
2006-10-20 0.0754245754245751 0.144355644355647 0.0054945054945063
2006-10-23 0.0684315684315695 0.151348651348636 0.00449550449550457
2006-10-24 0.0604395604395599 0.11838161838162 0.00849150849150797
2006-10-25 0.0484515484515484 0.145354645354641 0.0044955044955049
2006-10-26 0.0554445554445557 0.16433566433566 0.00449550449550474
2006-10-27 0.066433566433568 0.178321678321676 0.00349650349650426
2006-10-30 0.0744255744255758 0.195304695304686 0.000499500499499704
2006-10-31 0.0774225774225788 0.225274725274731 0.00549450549450489
2006-11-01 0.0684315684315683 0.215284715284715 0.00149850149850067
2006-11-02 0.0604395604395617 0.253246753246747 0.00349650349650424
2006-11-03 0.0454545454545463 0.261238761238755 0.00649350649350544
2006-11-06 0.0344655344655337 0.308191808191798 0.00149850149850133
2006-11-07 0.0384615384615399 0.333166833166832 0.000499500499500763
2006-11-08 0.0254745254745264 0.299200799200796 0.00149850149850077
2006-11-09 0.0304695304695291 0.353146853146857 0.0034965034965042
2006-11-10 0.0244755244755233 0.340159840159838 0.000499500499501687
2006-11-13 0.0304695304695302 0.363136863136866 0.000499500499501639
2006-11-14 0.0204795204795189 0.263236763236761 0.00349650349650375
2006-11-15 0.0244755244755239 0.263236763236768 0.00149850149850113
2006-11-16 0.026473526473525 0.284215784215779 0.00149850149850265
2006-11-17 0.0244755244755244 0.256243756243752 0.00349650349650419
2006-11-20 0.0214785214785223 0.260239760239759 0.00149850149850111
2006-11-21 0.016483516483516 0.280219780219781 0.00149850149850168
2006-11-22 0.0124875124875128 0.268231768231768 0.00149850149850126
2006-11-23 0.0224775224775224 0.245254745254747 0.00249750249750215
2006-11-24 0.0344655344655354 0.22427572427572 0.00349650349650368
2006-11-27 0.0214785214785214 0.175324675324674 0.00749250749250736
2006-11-28 0.0124875124875128 0.184315684315687 0.000499500499500658
2006-11-29 0.0164835164835157 0.205294705294708 0.000499500499501116
2006-11-30 0.0124875124875126 0.190309690309685 0.000499500499501166
2006-12-01 0.00649350649350674 0.156343656343664 0.000499500499500001
2006-12-04 0.0104895104895098 0.167332667332665 0.00149850149850188
2006-12-05 0.0154845154845177 0.170329670329674 0.00149850149850231
