"dates" "p.F" "p.G" "p.C"
2006-08-10 0.411088911088911 0.054445554445554 0.00449550449550453
2006-08-11 0.476023976023977 0.0644355644355644 0.0094905094905096
2006-08-14 0.510989010989011 0.0514485514485512 0.00849150849150879
2006-08-15 0.484015984015983 0.0534465534465544 0.00649350649350589
2006-08-16 0.55894105894106 0.0394605394605406 0.00849150849150827
2006-08-17 0.571928071928074 0.0464535464535471 0.00849150849150864
2006-08-18 0.54795204795205 0.0524475524475526 0.0104895104895102
2006-08-21 0.589910089910088 0.0664335664335665 0.00849150849150865
2006-08-22 0.490009990009989 0.0934065934065935 0.0104895104895107
2006-08-23 0.46003996003996 0.0884115884115884 0.00349650349650344
2006-08-24 0.516983016983018 0.133366633366633 0.00749250749250788
2006-08-25 0.535964035964037 0.132367632367631 0.00449550449550495
2006-08-28 0.445054945054945 0.156343656343657 0.00949050949050939
2006-08-29 0.348151848151846 0.2022977022977 0.00649350649350657
2006-08-30 0.423076923076924 0.183316683316682 0.00449550449550474
2006-08-31 0.426073926073926 0.150349650349649 0.0124875124875126
2006-09-01 0.422077922077923 0.166333666333667 0.0124875124875127
2006-09-04 0.475024975024975 0.150349650349651 0.0154845154845155
2006-09-05 0.42307692307692 0.128371628371629 0.00849150849150836
2006-09-06 0.382117882117882 0.116383616383616 0.00449550449550489
2006-09-07 0.378121878121879 0.15034965034965 0.010489510489511
2006-09-08 0.415084915084916 0.139360639360639 0.00849150849150822
2006-09-11 0.478021978021977 0.115384615384616 0.0114885114885116
2006-09-12 0.547952047952051 0.141358641358642 0.0184815184815188
2006-09-13 0.509990009990011 0.105394605394606 0.0164835164835169
2006-09-14 0.456043956043954 0.145354645354645 0.00349650349650365
2006-09-15 0.506993006993007 0.142357642357643 0.00949050949050909
2006-09-18 0.37012987012987 0.130369630369629 0.0114885114885111
2006-09-19 0.437062937062936 0.148351648351649 0.0254745254745256
2006-09-20 0.433066933066934 0.154345654345653 0.0234765234765237
2006-09-21 0.362137862137864 0.165334665334666 0.0124875124875122
2006-09-22 0.475024975024973 0.177322677322677 0.0114885114885112
2006-09-25 0.469030969030967 0.21928071928072 0.00849150849150861
2006-09-26 0.379120879120878 0.226273726273725 0.0104895104895109
2006-09-27 0.405094905094905 0.271228771228772 0.00449550449550498
2006-09-28 0.304195804195805 0.3011988011988 0.00849150849150848
2006-09-29 0.325174825174824 0.305194805194805 0.00749250749250708
2006-10-02 0.331168831168831 0.293206793206793 0.00449550449550499
2006-10-03 0.33916083916084 0.399100899100899 0.00549450549450577
2006-10-04 0.303196803196802 0.387112887112887 0.0224775224775228
2006-10-05 0.336163836163836 0.33916083916084 0.0254745254745258
2006-10-06 0.342157842157842 0.326173826173827 0.0144855144855143
2006-10-09 0.267232767232767 0.302197802197802 0.0324675324675324
2006-10-10 0.206293706293706 0.38111888111888 0.0254745254745259
2006-10-11 0.23026973026973 0.39210789210789 0.0314685314685314
2006-10-12 0.219280719280719 0.367132867132865 0.0274725274725275
2006-10-13 0.192307692307693 0.327172827172826 0.0424575424575427
2006-10-16 0.200299700299701 0.38111888111888 0.0214785214785216
