"g_ML0.05" "g_ML0.01" "g_ML0.005" "g_ML0.001" "g_tau0.05" "g_tau0.01" "g_tau0.005" "g_tau0.001" "g_new0.05" "g_new0.01" "g_new0.005" "g_new0.001" "c_ML0.05" "c_ML0.01" "c_ML0.005" "c_ML0.001" "c_tau0.05" "c_tau0.01" "c_tau0.005" "c_tau0.001" "c_new0.05" "c_new0.01" "c_new0.005" "c_new0.001" "f_ML0.05" "f_ML0.01" "f_ML0.005" "f_ML0.001" "f_tau0.05" "f_tau0.01" "f_tau0.005" "f_tau0.001" "f_new0.05" "f_new0.01" "f_new0.005" "f_new0.001" "theta.F.ML" "theta.G.ML" "theta.C.ML" "theta.F.tau" "theta.G.tau" "theta.C.tau" "theta.F.new" "theta.G.new" "theta.C.new" "loglik.Fr" "loglik.Gu" "loglik.Cl" "time.Frank" "time.Gumbel" "time.Clayton" "L.real.left" "data.time.part" "p.F" "p.G" "p.C"
-1.56056740425325 -2.52571195536207 -2.76406555296623 -3.40393922755002 -1.59074440158929 -2.46359429203641 -2.71738981099254 -4.00268143322336 -1.58161071378809 -2.2344935022201 -2.71091107853123 -3.1754519313452 -1.71311885958014 -2.78553122925424 -3.06385986155059 -4.08481457127619 -1.91520771779433 -3.06328560914564 -3.41917310247992 -4.0639894286628 -1.66463254860417 -2.91833399310133 -3.71182476619547 -4.76514889702457 -1.50094366482612 -2.36582946422929 -2.78863406673061 -3.50939363230544 -1.65194241498844 -2.33995169888361 -2.48399364215795 -2.75635463579454 -1.6536431601792 -2.6770169460936 -2.79598770746529 -3.48181375839429 2.63726134139465 1.23996251027042 0.497508605115979 2.49533313114404 1.35432932713396 0.708658654267918 2.5687076054744 1.33907660980001 0.707076610942604 19.2152161329407 13.327016309475 12.3296774041275 39.3899999999849 87.5200000000186 37.9799999999814 -0.0699999999999993 2006 0.516983016983018 0.133366633366633 0.00749250749250788
-1.49902635171159 -2.51911650846763 -2.67707782628838 -2.84304145334388 -1.53917236759117 -2.35978712171568 -2.80272674359283 -3.40048141409178 -1.64093761420751 -2.24989851617731 -2.77850796205422 -3.5365125894632 -1.71237017863631 -2.46643209191313 -2.79716840284608 -3.19537376641601 -1.89459177765854 -2.66377399274 -2.92597242926812 -3.61995178628139 -1.72117011417514 -2.64021435538409 -3.20623167865377 -3.64626322640627 -1.56064491182913 -2.26018176457801 -2.62135463909016 -3.19936053636975 -1.62384721052201 -2.42039060320484 -2.86825500127396 -3.16196883922456 -1.66826920750982 -2.34335293275115 -2.54854307429325 -3.4754681244886 2.60621988535714 1.23757529412781 0.493624713720593 2.48287112366532 1.35219409652273 0.704388193045459 2.54898162381283 1.3370222770249 0.703440704876665 18.8889289257374 13.1744014351152 12.2110974460481 39.6900000000023 88.0800000000163 38.5599999999977 0.120000000000002 2006 0.535964035964037 0.132367632367631 0.00449550449550495
-1.43127472378346 -2.3308867965985 -2.77883414540897 -2.89564434307506 -1.59172378049157 -2.28529072207507 -2.41895421171635 -2.97566943574872 -1.57692055416415 -2.32575747577554 -3.0782655301524 -3.38784433081 -1.52452270816813 -2.27484688953443 -2.72134161222644 -4.21356095851921 -1.91740157390512 -2.7255112570433 -3.17722218048242 -3.90652352409089 -1.80935378898346 -2.8752055800162 -3.85889748113852 -4.44418225824514 -1.64402528388905 -2.44664219076754 -2.6894705395732 -3.03937048190014 -1.55908614538836 -2.45095672786213 -2.84306758613076 -3.16006910912597 -1.61097269996272 -2.24068666726435 -2.65455543629136 -4.1002598865081 2.56335621720798 1.23357822383331 0.482545544239233 2.42566156855948 1.3424347826087 0.684869565217391 2.4869432528481 1.32541575019276 0.68294940717614 18.1945975191482 12.8483428249932 11.7738383403846 39.4199999999837 88.3300000000163 38.8399999999965 0.729999999999998 2006 0.445054945054945 0.156343656343657 0.00949050949050939
-1.39892320235928 -2.03347849066758 -2.18379440050304 -2.64239814673853 -1.51063438431462 -2.3684226796985 -2.75532918696942 -3.05375230732589 -1.36532099396891 -2.28579848321501 -2.48658773767973 -3.55252832525087 -1.56310313658524 -2.46281512176251 -2.63847751485157 -3.12565301402312 -1.50458329732225 -2.58060807579118 -2.90869930910468 -3.44409515650981 -1.72593331647121 -2.74235952054046 -2.93562589436522 -3.75222817106557 -1.60251689728189 -2.31251603362452 -2.45452490124323 -2.80229124189319 -1.52358263274425 -2.35154157342579 -2.46271955219839 -3.24668661939833 -1.44191907333082 -2.33288714869533 -2.7646769795401 -3.42227500436714 2.56452536573426 1.23421725238681 0.48109151306949 2.41673832957213 1.34091896117432 0.681837922348649 2.46819065934486 1.31933345065537 0.680534374236447 18.1155364961487 12.8794070526132 11.6783959145904 39.5299999999988 88.7300000000105 38.0599999999977 -0.599999999999993 2006 0.348151848151846 0.2022977022977 0.00649350649350657
-1.40975053004101 -2.28059522696655 -2.54419904648099 -3.0502420178212 -1.48138751596593 -2.29494101834042 -2.44467978589212 -2.69672512309337 -1.53592239995301 -2.17160925061224 -2.51703969001683 -3.58189574271275 -1.48214940064162 -2.23834267793619 -2.44849759099978 -3.06134549278554 -1.53213345798051 -2.28856769153003 -2.76472756496715 -3.39943531017832 -1.43342315051522 -2.64716929774846 -2.93418827353731 -3.58133509080442 -1.32114696821525 -1.881478210027 -2.10455257344904 -2.69776866342654 -1.50032961810981 -2.29868087002543 -2.90422539624066 -3.34326710596578 -1.3484436075589 -1.9180688270769 -2.17744841501119 -2.77555589250578 2.56207004393983 1.23414672236704 0.482231869990966 2.43253241144055 1.34360313315927 0.687206266318538 2.48733679442102 1.32353794696509 0.686284802998384 18.2037926634657 12.8939692832485 11.7630262687296 39.7200000000012 86.8699999999953 38.4400000000023 1.23 2006 0.423076923076924 0.183316683316682 0.00449550449550474
-1.51892179555797 -2.30778130107648 -2.78373470029901 -2.98401268682495 -1.47033734366483 -2.26294887071101 -2.5036590307987 -3.3904804282686 -1.52109011479456 -2.23187677618694 -2.40429340290759 -2.79747252375195 -1.51716157545342 -2.29136309508274 -2.64125002788405 -3.69266814379948 -1.7461802276198 -3.04352428349893 -3.37134990589988 -4.2900666839714 -1.61643968553947 -2.65098570244371 -3.16470435640298 -4.60667117155819 -1.47958073854963 -2.11567317940981 -2.54567137942959 -2.6841332249207 -1.51238259897146 -1.9710097371075 -2.46930628870587 -3.17202839073345 -1.51538977781031 -2.29980866765525 -2.47747364373501 -2.81015770128476 2.53577876339278 1.23175338085482 0.476879848677462 2.41056654321499 1.33987155007811 0.679743100156223 2.46391620545857 1.32361602113894 0.677209842770124 17.679244203136 12.5055175296296 11.4794229994099 39.25 87.3800000000047 38.5099999999802 0.349999999999988 2006 0.426073926073926 0.150349650349649 0.0124875124875126
-1.31458148270072 -2.16140558669506 -2.4048416652618 -2.66314539848534 -1.46455619199213 -2.06468217844409 -2.17797966073889 -2.92410957385071 -1.43783399615229 -2.32488740670901 -2.48891845726657 -2.76489603786475 -1.5264284203042 -2.53720659252347 -2.92711600784059 -3.32095931187083 -1.50569325301945 -2.29753934171785 -2.70609080493962 -3.59454953282733 -1.51048962513032 -2.47505650493815 -2.67112365281992 -3.44950861753562 -1.57171873666157 -2.2802265586918 -2.52907895937412 -3.03312062205621 -1.46840690042968 -2.04971396025969 -2.48012122575147 -2.96719847848733 -1.39333860950432 -2.1238998804429 -2.20868332505808 -2.47235473260028 2.54596069393274 1.23338239290594 0.479021278079012 2.41673832957213 1.34091896117432 0.681837922348649 2.47128023660745 1.3230320095093 0.679305246970657 17.9460052147035 12.6733860045924 11.6552830373689 39.2799999999988 88 37.9100000000035 0.150000000000009 2006 0.422077922077923 0.166333666333667 0.0124875124875127
-1.45688725012529 -2.10092545480159 -2.2387422272579 -2.41968389256672 -1.41219200693686 -1.93158237263786 -2.18767758693776 -2.67712381103972 -1.48083096319579 -2.1142160848717 -2.37141441216505 -2.99609862095095 -1.40164355704504 -2.33887466434389 -2.80447160301401 -3.0750089203607 -1.59769865274309 -2.51553859768989 -2.87764684427661 -3.85549326308643 -1.51448042155758 -2.45728344788925 -3.23325862945645 -4.48636055659117 -1.40627367899823 -2.12514822254125 -2.39287952201728 -2.84983814952764 -1.48778340659269 -2.27292177329245 -2.66933078476787 -2.91228940812018 -1.43378945775612 -2.00841436942506 -2.35279924420783 -2.53964927658511 2.51927451180854 1.22836771073566 0.474360057259845 2.38319374220455 1.33523611831863 0.67047223663726 2.44783550638707 1.31916849060511 0.667435534558988 17.4042499494492 12.2227082572756 11.4355134545909 38.9799999999814 87.0500000000175 37.9700000000012 -1.07 2006 0.475024975024975 0.150349650349651 0.0154845154845155
-1.43130667456507 -2.13359458589391 -2.49164772930475 -3.46432115698626 -1.32524759163205 -2.08916958999323 -2.31713959001545 -2.57271231367981 -1.40325465061697 -2.15372776849582 -2.39000542592318 -2.66106163995884 -1.54760274074619 -2.32323926757016 -2.68546395782185 -3.16453037731702 -1.39100404993264 -2.1900916243223 -2.62108165766507 -3.55830522680494 -1.36773299683153 -2.01592572399944 -2.59947972243006 -3.26774498079309 -1.25517957372516 -1.77035049217401 -1.85885164620787 -2.41069796763796 -1.57464901098837 -2.26298407788737 -2.37841988946109 -2.58991088695625 -1.55036832158136 -2.24692911374499 -2.40050560972075 -3.0583717370831 2.56806495774426 1.23184332303026 0.483596455623723 2.41811048568973 1.34115194162106 0.682303883242116 2.48155276232818 1.3271198162575 0.680616557433169 17.9028182939728 12.4232752010505 11.7560119671901 39.2200000000012 87.7000000000116 38.7200000000012 -1.04000000000001 2006 0.42307692307692 0.128371628371629 0.00849150849150836
-1.43750825669083 -2.02094214147984 -2.41293075433528 -3.49525849505228 -1.31736043917038 -2.08282264620127 -2.22335825774348 -2.80404098006311 -1.40303385325158 -1.90014830350386 -2.05761871138969 -2.12582103278385 -1.52580802433913 -2.55860917802244 -3.15643448493824 -3.92589868794849 -1.74436879142501 -2.64760684169415 -2.93487506401712 -3.58063541674404 -1.72342211733746 -2.52387593052335 -2.96657807987434 -4.02953433069981 -1.45669887300145 -2.24770871130563 -2.37364544761217 -2.64715250729665 -1.43339320214886 -2.07041835310295 -2.6869701445315 -3.62977554970297 -1.5055157978937 -2.12182020255142 -2.36342924407211 -3.18246683318209 2.61249010667637 1.23912383796234 0.492937478738944 2.47042892098581 1.35006558810669 0.70013117621338 2.52471304039304 1.33715378601696 0.699199736014943 18.4983124771208 12.9461939328666 12.0853347321686 38.7999999999884 87.2400000000198 38.6300000000047 -0.059999999999995 2006 0.382117882117882 0.116383616383616 0.00449550449550489
